T1,T2,T3,T4,T5,T6,final_stability,final_resources,final_workload,final_confidence,floor_hit,tags
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Calm),95,45,60,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Pushy),100,35,60,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Immediate Maintenance Programme,Commit Remaining Resources,100,10,50,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Immediate Maintenance Programme,Controlled Response,100,20,50,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Immediate Maintenance Programme,Protect Reserves,95,30,50,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Calm),100,20,50,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,10,50,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Accept Elevated Risk,Commit Remaining Resources,95,35,50,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Accept Elevated Risk,Controlled Response,85,45,50,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Accept Elevated Risk,Protect Reserves,75,55,50,65,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Accept Elevated Risk,Follow AI Rec (Calm),85,45,50,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Accept Elevated Risk,Follow AI Rec (Pushy),95,35,50,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Prioritise Critical Assets,Commit Remaining Resources,100,25,50,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Prioritise Critical Assets,Controlled Response,100,35,50,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Prioritise Critical Assets,Protect Reserves,95,45,50,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Calm),100,35,50,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Pushy),100,25,50,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Await Additional Data,Commit Remaining Resources,100,35,45,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Await Additional Data,Controlled Response,95,45,45,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Await Additional Data,Protect Reserves,85,55,45,65,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Await Additional Data,Follow AI Rec (Calm),95,45,45,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Act Independently,Reassure Public,Await Additional Data,Follow AI Rec (Pushy),100,35,45,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Commit Remaining Resources,100,0,40,80,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Controlled Response,100,0,40,75,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Protect Reserves,95,0,40,75,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Calm),100,0,40,75,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,40,80,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Accept Elevated Risk,Commit Remaining Resources,95,5,40,80,,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Accept Elevated Risk,Controlled Response,85,15,40,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Accept Elevated Risk,Protect Reserves,75,25,40,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Calm),85,15,40,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Pushy),95,5,40,80,,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Prioritise Critical Assets,Commit Remaining Resources,100,0,40,80,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Prioritise Critical Assets,Controlled Response,100,5,40,75,,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Prioritise Critical Assets,Protect Reserves,95,15,40,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Calm),100,5,40,75,,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Pushy),100,0,40,80,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Await Additional Data,Commit Remaining Resources,100,5,35,80,,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Await Additional Data,Controlled Response,95,15,35,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Await Additional Data,Protect Reserves,85,25,35,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Await Additional Data,Follow AI Rec (Calm),95,15,35,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Launch Visible Response,Await Additional Data,Follow AI Rec (Pushy),100,5,35,80,,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Immediate Maintenance Programme,Commit Remaining Resources,100,0,40,50,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Immediate Maintenance Programme,Controlled Response,100,10,40,45,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Immediate Maintenance Programme,Protect Reserves,95,20,40,45,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Calm),100,10,40,45,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,40,50,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Accept Elevated Risk,Commit Remaining Resources,95,25,40,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Accept Elevated Risk,Controlled Response,85,35,40,45,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Accept Elevated Risk,Protect Reserves,75,45,40,45,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Calm),85,35,40,45,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Pushy),95,25,40,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Prioritise Critical Assets,Commit Remaining Resources,100,15,40,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Prioritise Critical Assets,Controlled Response,100,25,40,45,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Prioritise Critical Assets,Protect Reserves,95,35,40,45,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Calm),100,25,40,45,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Pushy),100,15,40,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Await Additional Data,Commit Remaining Resources,100,25,35,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Await Additional Data,Controlled Response,95,35,35,45,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Await Additional Data,Protect Reserves,85,45,35,45,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Await Additional Data,Follow AI Rec (Calm),95,35,35,45,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Continue Monitoring,Await Additional Data,Follow AI Rec (Pushy),100,25,35,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Immediate Maintenance Programme,Commit Remaining Resources,100,0,47,65,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Immediate Maintenance Programme,Controlled Response,100,10,47,60,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Immediate Maintenance Programme,Protect Reserves,95,20,47,60,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Calm),100,10,47,60,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,47,65,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Accept Elevated Risk,Commit Remaining Resources,95,25,47,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Accept Elevated Risk,Controlled Response,85,35,47,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Accept Elevated Risk,Protect Reserves,75,45,47,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Calm),85,35,47,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Pushy),95,25,47,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Prioritise Critical Assets,Commit Remaining Resources,100,15,47,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Prioritise Critical Assets,Controlled Response,100,25,47,60,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Prioritise Critical Assets,Protect Reserves,95,35,47,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Calm),100,25,47,60,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Pushy),100,15,47,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Await Additional Data,Commit Remaining Resources,100,25,42,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Await Additional Data,Controlled Response,95,35,42,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Await Additional Data,Protect Reserves,85,45,42,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Calm),95,35,42,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Pushy),100,25,42,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Immediate Maintenance Programme,Commit Remaining Resources,100,0,40,70,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Immediate Maintenance Programme,Controlled Response,100,10,40,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Immediate Maintenance Programme,Protect Reserves,95,20,40,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Calm),100,10,40,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,40,70,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Accept Elevated Risk,Commit Remaining Resources,95,25,40,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Accept Elevated Risk,Controlled Response,85,35,40,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Accept Elevated Risk,Protect Reserves,75,45,40,65,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Accept Elevated Risk,Follow AI Rec (Calm),85,35,40,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Accept Elevated Risk,Follow AI Rec (Pushy),95,25,40,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Prioritise Critical Assets,Commit Remaining Resources,100,15,40,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Prioritise Critical Assets,Controlled Response,100,25,40,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Prioritise Critical Assets,Protect Reserves,95,35,40,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Calm),100,25,40,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Pushy),100,15,40,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Await Additional Data,Commit Remaining Resources,100,25,35,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Await Additional Data,Controlled Response,95,35,35,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Await Additional Data,Protect Reserves,85,45,35,65,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Await Additional Data,Follow AI Rec (Calm),95,35,35,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Escalate Infrastructure Support,Reassure Public,Await Additional Data,Follow AI Rec (Pushy),100,25,35,70,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Immediate Maintenance Programme,Commit Remaining Resources,100,0,30,80,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Immediate Maintenance Programme,Controlled Response,100,0,30,75,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Immediate Maintenance Programme,Protect Reserves,95,10,30,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Calm),100,0,30,75,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,30,80,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Accept Elevated Risk,Commit Remaining Resources,95,15,30,80,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Accept Elevated Risk,Controlled Response,85,25,30,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Accept Elevated Risk,Protect Reserves,75,35,30,75,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Calm),85,25,30,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Pushy),95,15,30,80,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Prioritise Critical Assets,Commit Remaining Resources,100,5,30,80,,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Prioritise Critical Assets,Controlled Response,100,15,30,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Prioritise Critical Assets,Protect Reserves,95,25,30,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Calm),100,15,30,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Pushy),100,5,30,80,,Preventative Management | System Collapse
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Await Additional Data,Commit Remaining Resources,100,15,25,80,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Await Additional Data,Controlled Response,95,25,25,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Await Additional Data,Protect Reserves,85,35,25,75,,Preventative Management | Resource Preservation
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Await Additional Data,Follow AI Rec (Calm),95,25,25,75,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Launch Visible Response,Await Additional Data,Follow AI Rec (Pushy),100,15,25,80,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Immediate Maintenance Programme,Commit Remaining Resources,100,10,30,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Immediate Maintenance Programme,Controlled Response,100,20,30,45,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Immediate Maintenance Programme,Protect Reserves,95,30,30,45,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Calm),100,20,30,45,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,10,30,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Accept Elevated Risk,Commit Remaining Resources,95,35,30,50,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Accept Elevated Risk,Controlled Response,85,45,30,45,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Accept Elevated Risk,Protect Reserves,75,55,30,45,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Calm),85,45,30,45,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Pushy),95,35,30,50,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Prioritise Critical Assets,Commit Remaining Resources,100,25,30,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Prioritise Critical Assets,Controlled Response,100,35,30,45,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Prioritise Critical Assets,Protect Reserves,95,45,30,45,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Calm),100,35,30,45,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Pushy),100,25,30,50,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Await Additional Data,Commit Remaining Resources,100,35,25,50,,Preventative Management | Resource Preservation
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Await Additional Data,Controlled Response,95,45,25,45,,Preventative Management | Resource Preservation
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Await Additional Data,Protect Reserves,85,55,25,45,,Preventative Management | Resource Preservation
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Await Additional Data,Follow AI Rec (Calm),95,45,25,45,,Preventative Management | Resource Preservation
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Await Additional Data,Follow AI Rec (Pushy),100,35,25,50,,Preventative Management | Resource Preservation
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Commit Remaining Resources,100,10,45,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Controlled Response,100,20,45,60,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Protect Reserves,95,30,45,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Calm),100,20,45,60,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,10,45,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Commit Remaining Resources,95,35,45,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Controlled Response,85,45,45,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Protect Reserves,75,55,45,60,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Calm),85,45,45,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Pushy),95,35,45,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Commit Remaining Resources,100,25,45,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Controlled Response,100,35,45,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Protect Reserves,95,45,45,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Calm),100,35,45,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Pushy),100,25,45,65,,Preventative Management
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Await Additional Data,Commit Remaining Resources,100,35,40,65,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Await Additional Data,Controlled Response,95,45,40,60,,Preventative Management | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Await Additional Data,Protect Reserves,85,55,40,60,,Preventative Management | Resource Preservation | Controlled Recovery
Emergency Rerouting,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Calm),95,45,40,60,,Preventative Management | Controlled Recovery
